,business_name,location,inspection_score
1058,"Le Colonial, SF, LLC","(37.788108, -122.412394)",95.3333333333
1059,Boudin Bakery,"(37.787423, -122.407417)",91.0
1060,BAY WATCH,"(37.799727, -122.437264)",91.1111111111
1061,Mel's Drive-In,"(37.78355, -122.405356)",84.6666666667
1062,KIRIN RESTAURANT,"(37.779962, -122.485087)",84.55
1063,Trattoria Pinocchio,"(37.799036, -122.408426)",78.4782608696
1064,PARAGON RESTAURANT & BAR,"(37.780534, -122.390362)",88.0
1065,Hornblower Cruises & Events/Hornblower-Santa Rosa,"(37.794551, -122.39319)",100.0
1066,GAP INC.,"(37.790793, -122.390218)",100.0
1067,CROSSROADS CAFE,"(37.783014, -122.389081)",94.0
1068,EUREST DINING SERVICES,"(37.790363, -122.393022)",72.0
1069,SEASONS BAR,"(37.786476, -122.404852)",99.0
1070,SLIM'S,"(37.771501, -122.413439)",91.1111111111
1071,SING SING,"(37.783855, -122.415984)",81.0
1072,EDINBURGH CASTLE PUB,"(37.786059, -122.418952)",87.4285714286
1073,Ferry Plaza Wine Merchant,"(37.795225, -122.39377)",99.5
1074,SF MARRIOTT BIN (formerly ATRIUM LOUNGE),"(37.784964, -122.404752)",92.0
1075,Roaring 20's,"(37.797948, -122.406393)",96.0
1076,Gino and Carlo Inc,"(37.799656, -122.408166)",79.9230769231
1077,Hustler Club,"(37.797545, -122.405455)",90.0
1078,Shannon Arms,"(37.742972, -122.47584)",99.3333333333
1079,HOCKEY HAVEN,"(37.775663, -122.49781)",96.4
1080,Hornblower Cruises & Events/SF Belle,"(37.797473, -122.39592)",100.0
1081,Cresta's 2211 Club,"(37.797036, -122.422058)",83.7777777778
1082,Titanic Lounge AKA Gangway,"(37.785713, -122.418094)",91.7777777778
1083,FINAL FINAL,"(37.798531, -122.445891)",90.8888888889
1084,THE GLAS KAT,"(37.779225, -122.397741)",98.0
1085,Holiday Inn Fisherman's Wharf,"(37.806115, -122.418525)",86.7777777778
1086,SOUTH BEACH YACHT CLUB,"(37.78162, -122.387677)",98.0
1087,GLENEAGLES GOLF COURSE AT M P,"(37.714351, -122.424419)",95.1428571429
1088,Ritz-Carlton SF - Bakery,"(37.791367, -122.407257)",98.0
1089,The Page,"(37.772194, -122.437154)",98.0
1090,Cafe Du Soleil,"(37.771368, -122.430248)",91.0
1091,DELUXE,"(37.769925, -122.447087)",92.0
1092,DIVA'S,"(37.7866248, -122.4194997)",88.1666666667
1093,ASIA SF LLC,"(37.775025, -122.413093)",88.7142857143
1094,CLUB PUERTORRIQUENO OF SF INC.,"(37.744901, -122.420273)",100.0
1095,BOTTOM OF THE HILL,"(37.765117, -122.396135)",90.75
1096,Barbarossa,"(37.795918, -122.403283)",94.6666666667
1097,Sweetie's,"(37.804685, -122.412971)",95.0
1098,Crepe Cafe,"(37.80824, -122.410189)",92.3333333333
1099,OUTTA HERE,"(37.775117, -122.452065)",90.6666666667
1100,STARBUCKS COFFEE,"(37.775314, -122.412819)",94.0
1101,NOE VALLEY BAKERY & BREAD CO.,"(37.751314, -122.433409)",96.6666666667
1102,DIANA MARKET #2,"(37.774722, -122.406761)",92.0
1103,Food Express,"(37.793598, -122.406097)",91.6666666667
1104,Universal Bakery Inc.,"(37.741317, -122.422687)",85.4
1105,Cottage Market,"(37.790022, -122.410392)",83.5454545455
1106,"Hotwok Express, Inc","(37.796954, -122.400764)",84.0
1107,Freddie's Sandwiches,"(37.805128, -122.410284)",91.6
1108,Boudin Restaurant,"(37.808352, -122.415157)",93.7142857143
1109,17th & Noe Market,"(37.762638, -122.433242)",97.5
1110,Spot Light Market,"(37.766424, -122.424311)",100.0
1111,AFC Sushi @ Safeway 4601,"(37.796984, -122.398887)",96.0
1112,AFC Sushi @ Safeway #1490,"(37.765708, -122.409002)",99.0
1113,Courtney's Produce II,"(37.767194, -122.435576)",85.9285714286
1114,STARBUCKS COFFEE #545,"(37.751413, -122.431629)",100.0
1115,Bi Rite Market,"(37.761483, -122.424688)",95.4285714286
1116,NOE BAGEL,"(37.751493, -122.430439)",93.8
1117,Mollie Stone's Grand Central Market (Mezzanine Level),"(37.788773, -122.434697)",94.0
1118,Golden Gate Meat Co,"(37.795225, -122.39377)",100.0
1119,Church Street Grocery,"(37.765878, -122.428815)",87.6666666667
1120,LA LOMA PRODUCE #7,"(37.727739, -122.403579)",78.5
1121,AFC SUSHI @ SAFEWAY 1507,"(37.768743, -122.427549)",91.1428571429
1122,BRANNAN STREET CAFE,"(37.782334, -122.391479)",99.0
1123,HSS 121 CAFE,"(37.720851, -122.477084)",97.5
1124,AK SUBS,"(37.773884, -122.408631)",85.7272727273
1125,SHIKI,"(37.784504, -122.399762)",79.0
1126,Gourmet Delight,"(37.795594, -122.408204)",79.3846153846
1127,LUCCA FOOD & WINE SHOP,"(37.763457, -122.478198)",93.6666666667
1128,PEET'S COFFEE & TEA,"(37.740283, -122.466459)",96.0
1129,Shaws San Francisco,"(37.739565, -122.467317)",91.7777777778
1130,GENE'S LIQUOR,"(37.742403, -122.48979)",90.4
1131,7-Eleven Food Store,"(37.7262, -122.464552)",96.6666666667
1132,LONDON MARKET & DELI,"(37.788924, -122.440667)",94.0
1133,Starbucks Coffee,"(37.807048, -122.417704)",96.0
1134,RUTILY'S MARKET,"(37.799078, -122.427634)",91.2
1135,UNITED LIQUORS & DELI,"(37.799934, -122.442977)",91.0909090909
1136,KING'S BAKERY,"(37.751356, -122.418414)",91.0
1137,PACIFIC FOOD MART,"(37.785623, -122.436498)",93.3333333333
1138,KERY MARKET,"(37.735714, -122.416775)",94.2
1139,THE CAKE HOUSE,"(37.716039, -122.441289)",92.0
1140,PICCOLO PETES,"(37.712686, -122.400903)",72.7272727273
1141,TAQUERIA CAN-CUN  RESTAURANT,"(37.78215, -122.410305)",80.0
1142,E-Z STOP MARKET,"(37.708356, -122.419989)",93.3333333333
1143,Biscoff Coffee Corner,"(37.80824, -122.410189)",98.6666666667
1144,DOUBLE ROCK GROCERY,"(37.721141, -122.391223)",91.6666666667
1145,RINCON MARKET,"(37.791424, -122.392468)",84.0
1146,New Golden Daisy,"(37.795594, -122.408204)",70.3181818182
1147,Gourmet Kitchen,"(37.795594, -122.408204)",71.1875
1148,Liquor & Deli On Union Square,"(37.790034, -122.407104)",89.5
1149,Sun Sang Market,"(37.796973, -122.408504)",72.25
1150,Market May Flower & Deli,"(37.789531, -122.413428)",98.6666666667
1151,WELCOME SUPER MARKET,"(37.776057, -122.408682)",89.0909090909
1152,Louie's Dim Sum,"(37.797256, -122.408456)",73.1739130435
1153,Hing Lung Company,"(37.797465, -122.408605)",81.4166666667
1154,Yo Yo's,"(37.797668, -122.401134)",86.8888888889
1155,Guerra Quality Meats,"(37.743278, -122.471171)",85.3333333333
1156,Zanze's Cheesecake,"(37.730139, -122.469855)",99.5
1157,Lombard Heights Market,"(37.803103, -122.409744)",98.0
1158,STARBUCKS COFFEE,"(37.728497, -122.475639)",97.1428571429
1159,NOAH'S NEW YORK BAGELS #2937,"(37.740587, -122.466153)",90.0
1160,Sunset Bakery,"(37.758941, -122.48591)",85.5
1161,Village Market,"(37.784713, -122.466527)",82.0
1162,CHEUNG HING CHINESE DELI & MEAT INC,"(37.782993, -122.462709)",68.8461538462
1163,BALBOA BI-RITE MARKET,"(37.776243, -122.485239)",95.5
1164,House of Bagels,"(37.780688, -122.473471)",84.7857142857
1165,STARBUCKS COFFEE CO,"(37.784247, -122.403989)",93.5555555556
1166,7-ELEVEN #20473,"(37.742448, -122.490032)",92.0
1167,EMPIRE THEATRE,"(37.739883, -122.466749)",97.3333333333
1168,GOLDEN BEAR MARKET,"(37.758941, -122.48591)",84.25
1169,SUNSET SUPER,"(37.738333, -122.49728)",79.3333333333
1170,MARCO POLO ITALIAN ICE CREAM,"(37.742728, -122.481566)",97.3333333333
1171,IRVING SEAFOOD MARKET,"(37.763428, -122.480921)",86.0
1172,ANDRE-BOUDIN BAKERIES,"(37.781139, -122.468635)",84.75
1173,SUBWAY,"(37.753638, -122.490712)",100.0
1174,JAVA ON OCEAN,"(37.724778, -122.460205)",93.8
1175,NORMAN'S LIQUOR & DELI,"(37.714204, -122.469193)",94.5454545455
1176,RICE GARDEN,"(37.733944, -122.490438)",92.8888888889
1177,Mrs. Fields Cookies,"(37.728497, -122.475639)",95.2727272727
1178,FRIENDS LIQUOR,"(37.785717, -122.433121)",96.6666666667
1179,CONVENIENCE DELI & GROCERY,"(37.782294, -122.427485)",93.0
1180,STEWART'S MARKET,"(37.785093, -122.441498)",93.6
1181,SHUFAT MARKET,"(37.751664, -122.427688)",95.0
1182,LA CANASTA TAKE-OUT,"(37.797667, -122.432196)",83.1333333333
1183,GINO'S GROCERY COMPANY,"(37.792598, -122.434537)",79.6666666667
1184,SHERMAN MARKET,"(37.798434, -122.425566)",88.1
1185,GREEN STREET MARKET,"(37.796828, -122.430234)",89.6
1186,MICHAELIS WINE & SPIRITS,"(37.797138, -122.435334)",90.0
1187,MAY FLOWER MKT.,"(37.792455, -122.434474)",93.0
1188,Paradise Coffee & Donut,"(37.785846, -122.412207)",86.0
1189,BREAD & BUTTER MARKET,"(37.785068, -122.418983)",85.8333333333
1190,LUCCA DELICATESSEN,"(37.800568, -122.438354)",85.2307692308
1191,LEE'S DELI,"(37.790697, -122.399563)",82.0
1192,LEE'S DELI,"(37.791588, -122.39292)",80.3333333333
1193,Tan's Cafe III,"(37.805286, -122.408075)",89.5555555556
1194,New Russian Hill Market,"(37.795951, -122.414986)",88.1818181818
1195,Aunt Fanny's Hot Pretzels,"(37.802479, -122.411234)",90.1818181818
1196,Chowder Hut,"(37.808616, -122.415779)",87.6363636364
1197,BAYSIDE MARKET,"(37.78416, -122.389239)",86.6666666667
1198,SOUTH BEACH CAFE,"(37.781556, -122.388484)",86.8571428571
1199,BRAINWASH CAFE,"(37.776254, -122.408529)",84.9230769231
1200,CANTON DIM SUM HOUSE,"(37.784557, -122.397932)",90.0
1201,TONY BALONEY'S,"(37.778033, -122.40943)",73.0
1202,WHITCOMB  HOTEL- EMPLOYEES / BSMT CAFETERIA,"(37.778357, -122.415182)",90.25
1203,SOUTH PARK CAFE,"(37.781564, -122.394369)",81.6
1204,VICTOR'S,"(37.778634, -122.393089)",91.6
1205,"Good Life Grocery, The","(37.739053, -122.416683)",90.0
1206,M & M SHORTSTOP,"(37.708427, -122.420353)",82.0
1207,NEW COLLEGE HILL MARKET,"(37.736021, -122.424503)",98.3333333333
1208,YICK'S LIQUOR,"(37.72304, -122.436017)",95.2
1209,SAN BRUNO SUPERMARKET,"(37.730527, -122.404861)",75.8636363636
1210,SUBWAY #31419,"(37.728933, -122.40413)",90.2
1211,WHITE PALACE LIQUOR & DELI,"(37.732344, -122.405852)",93.7142857143
1212,BIG SAVE MARKET,"(37.733019, -122.391239)",91.4545454545
1213,Starbucks Coffee,"(37.791742, -122.398373)",92.2222222222
1214,THE GAP CAFE,"(37.789177, -122.388962)",98.0
1215,SAY CHEESE,"(37.766017, -122.449976)",88.4
1216,Safeway Store #985,"(37.753718, -122.488821)",98.4
1217,STARBUCKS COFFEE #9215,"(37.764027, -122.456159)",92.5
1218,GEORGE'S ZOO,"(37.735488, -122.501599)",90.8888888889
1219,SUNNY COUNTRY FOODS,"(37.764384, -122.452584)",90.6
1220,SAFEWAY #909,"(37.743191, -122.473903)",85.3333333333
1221,NORTH BEACH PIZZA,"(37.742048, -122.499002)",84.7692307692
1222,FAMILY MARKET,"(37.713219, -122.458851)",91.25
1223,COOL GUYS,"(37.721794, -122.461991)",94.0
1224,7-ELEVEN STORE 2230-23342E,"(37.709683, -122.457571)",94.4
1225,Station Cafe,"(37.73017, -122.502535)",94.3333333333
1226,DRAGON CITY BAKERY & CAFE,"(37.759174, -122.419066)",85.8571428571
1227,NABILA'S HAYES VALLEY HEALTH FOOD,"(37.776524, -122.425607)",89.8
1228,JUMP START COFFEE & GROCERY,"(37.752118, -122.422914)",92.8
1229,STOP N SHOP,"(37.748924, -122.418144)",92.0
1230,LUCCA RAVIOLI CO,"(37.755177, -122.420995)",93.0
1231,NIMERS MARKET,"(37.776174, -122.443297)",94.0
1232,S & W MARKET,"(37.772323, -122.428627)",92.0
1233,SUNRISE MARKET,"(37.771748, -122.433493)",90.0
1234,Ben & Jerry's Haight-Ashbury,"(37.770068, -122.446644)",92.5714285714
1235,HOME SERVICE MARKET,"(37.774148, -122.444633)",94.0
1236,SUPER SAM FOOD,"(37.779639, -122.423352)",94.0
1237,NEW STAR MARKET,"(37.768274, -122.419299)",97.3333333333
1238,JIM GEORGIE'S DONUT,"(37.765262, -122.41523)",79.7
1239,LA PALMA,"(37.752798, -122.409922)",83.25
1240,LA VICTORIA BAKERY,"(37.752373, -122.410876)",77.2
1241,A B C MARKET,"(37.749612, -122.408789)",93.8
1242,EL FARO,"(37.759054, -122.414656)",92.875
1243,TED'S MARKET,"(37.772723, -122.41608)",90.7142857143
1244,Good Luck Market & Deli,"(37.793882, -122.404704)",88.75
1245,Lebeau's Nob Hill Market,"(37.792854, -122.416114)",81.0
1246,FRENCH BAKERY,"(37.742914, -122.478149)",94.6666666667
1247,AVENUE FINE FOODS,"(37.794494, -122.425527)",96.0
1248,CHEVRON STATIONS INC. #1727,"(37.711558, -122.45561)",98.0
1249,Safeway Stores Inc #711,"(37.805073, -122.433106)",90.25
1250,THAT'S IT MARKET,"(37.753973, -122.418576)",91.2
1251,Three Star Restaurant,"(37.753583, -122.490839)",78.75
1252,CAL MART SUPERMARKET,"(37.786453, -122.452807)",80.4166666667
1253,Angel's Market,"(37.748214, -122.433746)",93.25
1254,FRANKLIN MARKET,"(37.788658, -122.423627)",91.6
1255,Young Ellis Produce,"(37.784961, -122.412761)",79.2666666667
1256,Sweet Mart,"(37.795188, -122.405723)",97.25
1257,SENIORE'S PIZZA,"(37.742728, -122.475714)",85.7857142857
1258,ROSSI'S DELI,"(37.761954, -122.435168)",92.0
1259,HEALTHY SPIRITS,"(37.765673, -122.435386)",93.3333333333
1260,M & L MARKET,"(37.767723, -122.428259)",100.0
1261,HARVEST MARKET,"(37.764607, -122.432452)",84.2142857143
1262,PEET'S COFFEE & TEA,"(37.764947, -122.432012)",94.6666666667
1263,LA MEJOR BAKERY,"(37.752156, -122.41916)",92.5
1264,LATTE EXPRESS,"(37.783225, -122.407252)",80.5454545455
1265,STARBUCKS COFFEE CO,"(37.778357, -122.415182)",89.1111111111
1266,The Crab Station of Fisherman's Wharf,"(37.795202, -122.413169)",86.0
1267,COLLEGE MARKET,"(37.783613, -122.422397)",83.3333333333
1268,PEET'S COFFEE & TEA,"(37.765708, -122.409002)",96.0
1269,PIZZA HUT,"(37.743313, -122.421363)",94.125
1270,MITCHELLS ICE CREAM,"(37.744122, -122.422722)",97.3333333333
1271,DESTINATION BAKING COMPANY,"(37.734619, -122.432379)",90.5714285714
1272,MARINA DELI,"(37.800194, -122.440927)",91.7142857143
1273,PRESIDIO THEATRE,"(37.800128, -122.441914)",91.875
1274,LEE'S DELI,"(37.787113, -122.400052)",77.0
1275,JAVA TRADING CO,"(37.782659, -122.406555)",86.7142857143
1276,CITY KINETICS,"(37.792137, -122.394573)",85.0
1277,CAFE-ROSSO,"(37.720851, -122.477084)",98.6666666667
1278,NOAH'S NEW YORK BAGELS #2105,"(37.733944, -122.490438)",87.5833333333
1279,SEAKOR DELI,"(37.780054, -122.483181)",92.0
1280,AMC-Level #2,"(37.784784, -122.421052)",96.2857142857
1281,AMC-Level #4,"(37.784784, -122.421052)",96.0
1282,AMC-Level #7,"(37.784784, -122.421052)",94.0
1283,SUNSET SUPERMARKET,"(37.763221, -122.483832)",80.3333333333
1284,Crab Cake & Sweet,"(37.80824, -122.410189)",91.4285714286
1285,POPEYES-GENEVA & MISSION,"(37.716643, -122.441187)",92.0
1286,In-N-Out Burger,"(37.807923, -122.417887)",99.0
1287,KFC,"(37.742948, -122.478732)",95.0
1288,PIZZA HUT #758280,"(37.786477, -122.415454)",91.3636363636
1289,LATTE EXPRESS,"(37.777702, -122.39585)",80.4
1290,Taco Bell,"(37.793874, -122.396464)",98.0
1291,POPEYES CHICKEN & BISCUIT,"(37.774873, -122.437804)",100.0
1292,Kentucky Fried Chicken,"(37.769758, -122.424782)",95.0
1293,McDONALD'S,"(37.765507, -122.407565)",88.4444444444
1294,CONGREGATION SHERITH ISRAEL,"(37.789225, -122.431643)",98.0
1295,BAYVIEW HP MULTI-SERVICE DROP-IN CT,"(37.726932, -122.388696)",90.5454545455
1296,CHRIST UNITED PRESBYTERIAN CHU,"(37.786771, -122.42839)",100.0
1297,MEALS ON WHEELS OF S.F.,"(37.788192, -122.424723)",100.0
1298,NEIGHBORHOOD BAPTIST CHURCH,"(37.776504, -122.426446)",100.0
1299,Jones Memorial United Methodist Church,"(37.784955, -122.434254)",98.0
1300,Tenderloin Children's Playground,"(37.784564, -122.415617)",84.5714285714
1301,ST. PAULS SCHOOL,"(37.74385, -122.426739)",94.0
1302,St Mary's Cathedral/Convention Center,"(37.784361, -122.424554)",96.0
1303,260 Golden Gate Family Residence,"(37.781792, -122.414891)",96.0
1305,CULINARY ARTS & HOSPITALITY,"(37.723638, -122.452273)",97.3333333333
1307,LATINO CUISINE CULINARY ACADEMY,"(37.760373, -122.411153)",95.0
1308,Western Addition Senior Citizen Service,"(37.780567, -122.431965)",89.0
1309,GOLDEN GATE YACHT CLUB,"(37.807878, -122.442499)",94.0
1310,HOME FOR ELDERLY,"(37.781075, -122.403552)",100.0
1311,FIRST BAPTIST CHURCH,"(37.772017, -122.4241)",100.0
1312,"Wattis Room, The","(37.777282, -122.419751)",96.0
1313,MARTIN DE PORRES HOUSE OF HOSP,"(37.766759, -122.407571)",88.0
1314,"MEALS ON WHEELS OF SF, INC.","(37.739891, -122.3848)",85.7777777778
1316,San Francisco Rescue Mission Cafe,"(37.783274, -122.412392)",82.7142857143
1317,SALVATION ARMY GATEWAY,"(37.772473, -122.409879)",91.5
1318,Peter Claver Community,"(37.779531, -122.432628)",92.0
1319,JEWISH FAMILY & CHILDREN'S SERVICES,"(37.761215, -122.489161)",96.0
1320,Project Open Hand,"(37.783583, -122.419191)",100.0
1321,Larkin Street Youth Center,"(37.783845, -122.420429)",92.0
1322,GLOBAL GOURMET CATERING,"(37.758887, -122.387493)",100.0
1323,CHRISTOPHER'S CATERING,"(37.739197, -122.390225)",98.6666666667
1324,DAY DARMET CATERING,"(37.72608, -122.380207)",92.6666666667
1325,BETTY ZLATCHIN CATERING,"(37.755483, -122.390879)",96.0
1326,"ECLECTIC COOKERY, INC.","(37.7284883, -122.3640797)",91.6
1327,LITTLE BAOBAB,"(37.760295, -122.418953)",91.0
1328,IBERIA CATERING,"(37.712715, -122.451363)",82.3333333333
1330,Knights Catering,"(37.741939, -122.383872)",98.0
1331,SAN FRANCISCO MUSEUM OF MODERN ART,"(37.785643, -122.401192)",90.25
1332,McCALL ASSOCIATES,"(37.764359, -122.410594)",84.0
1333,PAN-O-RAMA,"(37.762921, -122.411254)",98.0
1334,WILLIAMS-SONOMA,"(37.800797, -122.436684)",87.1666666667
1335,Eva's Catering,"(37.8093233, -122.417095)",91.6
1336,"San Francisco Crepe Co, Inc","(37.774722, -122.406761)",96.0
1337,EL TONAYENSE CATERING TRUCK,"(37.760583, -122.413239)",90.0
1338,EL NORTENO,"(37.776011, -122.402466)",87.8181818182
1339,Tacos San Buena,"(37.749851, -122.415121)",92.5
1340,SAN FRANCISCO ZOO WAREHOUSE,"(37.73017, -122.502535)",94.0
1341,"Alioto Fish Co., Ltd","(37.80792, -122.418577)",92.0
1342,The Waterfront,"(37.8005386, -122.3969659)",96.0
1343,S.F. Bay Concessionaires Commissary,"(37.809167, -122.411389)",93.2
1344,Nick's Lighthouse,"(37.8093233, -122.417095)",88.8
1345,Crab Station at Fisherman's Wharf,"(37.8093233, -122.417095)",95.3333333333
1346,SAN FRANCISCO SOUP COMPANY,"(37.776775, -122.403305)",100.0
1347,Quick-N-Ezee Indian Foods,"(37.7946507, -122.3998262)",100.0
1348,QUICK-N-EZEE,"(37.7803868, -122.4129543)",100.0
1349,Della Fattoria,"(37.7946507, -122.3998262)",92.0
1350,Acme Bread Co,"(37.7946507, -122.3998262)",100.0
1351,"Downtown Bakery & Creamery, Inc","(37.7946507, -122.3998262)",96.0
1352,KIEM'S SEAFOOD,"(37.7803868, -122.4129543)",100.0
1353,CATER THYME,"(37.7803868, -122.4129543)",100.0
1354,Annie's Hot Dogs,"(37.779847, -122.418985)",91.8333333333
1355,Annie's Hot Dogs,"(37.779847, -122.418985)",97.0
1356,Stanley's Steamers,"(37.791586, -122.408452)",99.3333333333
1357,Annie's Hot Dogs,"(37.779847, -122.418985)",94.4
1358,AT&T - (CART 1)  DOGGIE DINNER [145089],"(37.7785351, -122.3894833)",96.8
1359,AT&T - (CART 2)  DELI [145090],"(37.7785351, -122.3894833)",95.5
1360,AT&T - (CART 3)  SOUP [145091],"(37.7785351, -122.3894833)",99.4285714286
1361,AT&T - (CART 4)  BAYSIDE BREWS [145092],"(37.7785351, -122.3894833)",100.0
1362,AT&T - (CART 5)  FRESH POPCORN [145093],"(37.7785351, -122.3894833)",99.0
1363,AT&T - (CART 6)  BAYSIDE BREWS,"(37.7785351, -122.3894833)",96.0
1364,AT&T - (CART 36) BAYSIDE BREWS [145123],"(37.7785351, -122.3894833)",98.0
1365,AT&T -  CARVERY Stand-Field level,"(37.778382, -122.391151)",99.0
1366,AT&T - (CART 39) DOGGIE DINER v [145126],"(37.7785351, -122.3894833)",96.8571428571
1367,AT&T - (CART 40) BAYSIDE BREWS v,"(37.7785351, -122.3894833)",98.6666666667
1368,AT&T - CART 41 NACHOS-COMPADRES,"(37.7785351, -122.3894833)",94.8571428571
1369,AT&T - (CART 42) FRESH POPCORN [145129],"(37.7785351, -122.3894833)",98.5
1370,AT&T - (CART 43) DOGGIE DINNER [145130],"(37.7785351, -122.3894833)",94.7272727273
1371,AT&T - (CART 44) BAYSIDE BREWS v [145131],"(37.7785351, -122.3894833)",98.0
1372,AT&T - (CART 45) SNOW CONES view [145132],"(37.7785351, -122.3894833)",96.75
1373,AT&T - (CART 46) SNOW CONES view [145133],"(37.7785351, -122.3894833)",97.0
1374,AT&T - SAY HEY CART,"(37.7785351, -122.3894833)",95.2
1375,AT&T - (CART 48) BAYSIDE BREWS [145135],"(37.777607, -122.3909239)",98.6666666667
1376,AT&T - CART 49/ SOUP CLAM CHOW v [145136],"(37.7785351, -122.3894833)",98.2857142857
1377,AT&T - (CART 50) BAYSIDE BREWS [145137],"(37.7785351, -122.3894833)",96.0
1378,AT&T - Mission Creek Cantina Bar - Promenade,"(37.778382, -122.391151)",92.6666666667
1379,AT&T - (CART 52) Lemonade/Kettle Corn view [145139],"(37.7785351, -122.3894833)",95.4545454545
1380,AT&T - Edsel Ford Fong,"(37.7785351, -122.3894833)",98.25
1381,AT&T - (CART 55) FRESH POPCORN [145142],"(37.7785351, -122.3894833)",100.0
1382,AT&T - (CART 56) BAYSIDE BREWS v [145143],"(37.7785351, -122.3894833)",99.0
1383,AT&T - (CART58) FRESH PRODUCE-Pretzels & Juice [145145],"(37.7785351, -122.3894833)",99.3333333333
1384,AT&T - (CART 59) Carvery cart-Club level [145146],"(37.7785351, -122.3894833)",94.8
1385,AT&T - (CART 60) Murph's Pub [145147],"(37.7785351, -122.3894833)",93.1818181818
1386,"AT&T -  JOE GARCIA, Edsel Ford Fong, Wine Bar  Stand","(37.778382, -122.391151)",95.0
1387,AT&T -  Ballpark Snacks Stand,"(37.778382, -122.391151)",99.0
1388,"AT&T - (CART 7)  SNOW CONES, Etc. [145095]","(37.7785351, -122.3894833)",100.0
1389,AT&T -  California Cook Out-BBQ,"(37.778382, -122.391151)",98.6666666667
1390,AT&T - Hol N Jam Down Third (Cotton Candy/Lemonade),"(37.7785351, -122.3894833)",99.0
1391,AT&T - 2114 Portables (Food/Wine Carts),"(37.7785351, -122.3894833)",96.75
1392,AT&T - Hebrew National,"(37.7785351, -122.3894833)",95.5454545455
1393,AT&T -  Taste of North Beach [145100],"(37.7785351, -122.3894833)",94.375
1394,AT&T - Hol N Jam Down Home (Cotton Candy/Lemonade),"(37.7785351, -122.3894833)",92.875
1395,AT&T - (CART 14) BAYSIDE BREWS [145102],"(37.7785351, -122.3894833)",100.0
1396,AT&T - (CART 15) FRESH POPCORN [145103],"(37.7785351, -122.3894833)",99.0
1397,AT&T - (CART 16) BAYSIDE BREWS [145104],"(37.7785351, -122.3894833)",100.0
1398,AT&T - (CART 17) DELI [145105],"(37.7785351, -122.3894833)",94.6666666667
1399,AT&T - (CART 18) NACHO-COMPADRES [145106],"(37.7785351, -122.3894833)",95.0
1400,AT&T - 2127 Portables - Peanuts,"(37.7785351, -122.3894833)",96.8
1401,AT&T - (CART 20) DOGGIE DINNER [145108],"(37.7785351, -122.3894833)",96.6
1402,AT&T - (CART 21) GOURMET SAUSAGES & BUDWEISER [145109],"(37.7785351, -122.3894833)",93.2727272727
1403,AT&T - (CART 22) FRESH POPCORN & Bayside Brews,"(37.7785351, -122.3894833)",97.6666666667
1404,AT&T -23 ORLANDO'S CARIBBEAN BBQ [145111],"(37.7785351, -122.3894833)",97.2
1405,AT&T - (CART 24) FRESH CATCH-Seafood Sandwich [145088],"(37.7785351, -122.3894833)",96.2222222222
1406,AT&T - (CART 25) FRESH CATCH-Clam chowder soup [145112],"(37.7785351, -122.3894833)",95.75
1407,AT&T -26 SNOW CONES/COTTON CANDY [145113],"(37.7785351, -122.3894833)",97.0
1408,AT&T - Portables 6 Beer cart,"(37.7785351, -122.3894833)",97.0
1409,AT&T - (CART 28) BAYSIDE BREWS/Anchor Steam [145115],"(37.7785351, -122.3894833)",97.0
1410,AT&T - (CART 29) BAYSIDE BREWS - Red Hook [145116],"(37.7785351, -122.3894833)",97.2
1411,AT&T - (CART 30) BAYSIDE BREWS&Cable Car Bar [145117],"(37.7785351, -122.3894833)",100.0
1412,AT&T - Cable Car Bar - Centerfield,"(37.778382, -122.391151)",93.6666666667
1413,AT&T - (CART 32) FRESH POPCORN [145119],"(37.7785351, -122.3894833)",100.0
1414,AT&T - (CART 33) PRETZELS GRILL [145120],"(37.7525416999999, -122.4135418)",93.5
1415,AT&T - (CART 35) DOGGIE DINER [145122],"(37.7785351, -122.3894833)",100.0
1416,AT&T - (J-3A) BEN & JERRY'S,"(37.7785351, -122.3894833)",97.6666666667
1417,AT&T - (J-3B) TULLY'S Coffee,"(37.7785351, -122.3894833)",98.8
1418,AT&T - (J-2A) BEN & JERRY'S,"(37.7785351, -122.3894833)",94.6666666667
1419,AT&T - (J-2B) TULLY'S,"(37.7785351, -122.3894833)",93.6
1420,AT&T Park - Coffee and Ice Cream (5A+5B),"(37.7785351, -122.3894833)",100.0
1421,AT&T Park - Coffee and Ice Cream (4A+4B),"(37.7785351, -122.3894833)",97.0
1422,AT&T - Juma Cart 1 - Ice Cream,"(37.7785351, -122.3894833)",98.0
1423,Simco Coffee/(Espresso Cafe) Seal Location,"(37.808673, -122.409821)",99.0
1424,LEAPING LEMUR CART,"(37.721453, -122.48629)",96.0
1425,AT&T - Juma Cart 1 - Coffee,"(37.7785351, -122.3894833)",98.0
1426,WILDLIFE CONNECTION ESPRESSO CART,"(37.73017, -122.502535)",98.0
1427,NY FRANKFURTER / COFFEE CART,"(37.779847, -122.418985)",94.0
1428,Aramark at Grace Cathedral,"(37.791538, -122.413334)",92.1428571429
1429,Simco/Wipe Out Bar & Grill(Hot Dog Cart)-  infront of wipeout,"(37.808986, -122.41025)",97.3333333333
1430,CALIF PACIFIC MEDICAL CTR - CART,"(37.791426, -122.431039)",92.0
1431,CALIFORNIA PACIFIC MEDICAL CENTER,"(37.768922, -122.435736)",96.0
